FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
77467.000	78025.000	566.000	365.500	296.000	0.000	0.000	1.608	0.077	0.020	0.180	0.305	Test IM2C	TL5001
78058.000	78266.000	217.000	321.000	155.500	0.000	0.000	1.608	0.137	0.081	0.958	0.694	Test IM2C	TL5001
78300.000	78741.000	449.000	296.000	130.500	0.000	0.000	1.608	0.061	0.012	0.125	0.194	Test IM2C	TL5001
78774.000	79099.000	333.000	527.250	238.000	0.000	0.000	1.608	0.152	0.098	0.860	0.819	Test IM2C	TL5001
79132.000	79416.000	292.000	557.500	335.500	0.000	0.000	1.608	0.150	0.077	0.527	0.527	Test IM2C	TL5001
79441.000	79690.000	258.000	428.500	112.500	0.000	0.000	1.608	0.280	0.235	1.568	2.234	Test IM2C	TL5001
79724.000	79957.000	241.000	344.500	122.000	0.000	0.000	1.608	0.079	0.016	0.250	0.194	Test IM2C	TL5001
79990.000	80340.000	358.000	456.500	132.500	0.000	0.000	1.608	0.092	0.030	0.416	0.347	Test IM2C	TL5001
80373.000	81048.000	683.000	464.750	116.750	0.000	0.000	1.608	0.059	0.043	0.333	0.361	Test IM2C	TL5001
81081.000	81631.000	558.000	484.000	154.500	0.000	0.000	1.608	0.064	0.023	0.319	0.264	Test IM2C	TL5001
81664.000	82105.000	450.000	460.000	116.000	0.000	0.000	1.608	0.065	0.017	0.194	0.402	Test IM2C	TL5001
82139.000	82513.000	383.000	443.500	-35.000	0.000	0.000	1.608	0.096	0.048	0.680	0.569	Test IM2C	TL5001
82547.000	82946.000	408.000	328.500	-74.500	0.000	0.000	1.608	0.103	0.067	1.041	0.236	Test IM2C	TL5001
82980.000	84079.000	1107.000	283.000	-215.500	0.000	0.000	1.608	0.095	0.472	1.221	0.985	Test IM2C	TL5001
84112.000	84320.000	217.000	251.250	-227.000	0.000	0.000	1.608	0.194	0.104	1.041	0.763	Test IM2C	TL5001
84354.000	85078.000	732.000	628.500	272.500	1.000	0.000	1.608	0.369	0.612	3.039	5.232	Test IM2C	TL5001
85111.000	85569.000	467.000	756.000	205.500	0.000	0.000	1.608	0.093	0.053	0.749	0.541	Test IM2C	TL5001
85619.000	85669.000	59.000	139.500	-255.500	1.000	0.000	1.608	3.249	21.365	15.417	9.811	Test IM2C	TL5001
48974.000	49049.000	84.000	417.000	316.500	0.000	0.000	1.525	0.258	0.163	0.430	0.638	Test IM2C	TL5002
49074.000	49566.000	500.000	303.250	214.000	0.000	0.000	1.525	0.111	0.044	0.624	0.735	Test IM2C	TL5002
49599.000	50165.000	574.000	533.500	318.500	0.000	0.000	1.525	0.167	0.134	0.958	1.096	Test IM2C	TL5002
50198.000	50565.000	375.000	565.500	355.000	0.000	0.000	1.525	0.145	0.048	0.361	0.458	Test IM2C	TL5002
50598.000	50831.000	242.000	370.000	169.500	0.000	0.000	1.525	0.301	0.167	1.526	1.984	Test IM2C	TL5002
50865.000	51248.000	391.000	311.500	170.500	0.000	0.000	1.525	0.094	0.051	0.527	0.375	Test IM2C	TL5002
51281.000	51506.000	233.000	610.500	432.250	0.000	0.000	1.525	0.355	0.329	1.513	1.901	Test IM2C	TL5002
51539.000	51914.000	383.000	594.000	350.500	0.000	0.000	1.525	0.114	0.068	0.361	0.763	Test IM2C	TL5002
51947.000	52147.000	208.000	418.500	178.500	0.000	0.000	1.525	0.275	0.151	1.235	1.762	Test IM2C	TL5002
52180.000	52688.000	516.000	316.500	167.250	0.000	0.000	1.525	0.075	0.032	0.430	0.291	Test IM2C	TL5002
52721.000	53796.000	1083.000	297.500	173.500	0.000	0.000	1.525	0.062	0.017	0.222	0.319	Test IM2C	TL5002
53829.000	54553.000	733.000	310.500	169.500	0.000	0.000	1.525	0.060	0.019	0.208	0.250	Test IM2C	TL5002
54587.000	55536.000	957.000	320.500	170.500	1.000	0.000	1.525	0.090	0.114	0.652	0.860	Test IM2C	TL5002
56752.000	56868.000	125.000	83.500	468.500	1.000	0.200	1.525	0.258	0.177	0.638	0.777	Test IM2C	TL5002
56902.000	57002.000	108.000	262.000	305.000	1.000	0.000	1.525	0.350	0.678	0.971	1.138	Test IM2C	TL5002
57393.000	57693.000	308.000	511.000	196.000	1.000	0.027	1.525	0.309	0.343	0.680	1.193	Test IM2C	TL5002
7362.000	7429.000	75.000	387.500	314.500	0.000	0.000	1.617	0.113	0.027	0.153	0.250	Test IM2C	TL5003
7454.000	7853.000	408.000	285.500	190.000	0.000	0.000	1.617	0.140	0.094	0.902	1.069	Test IM2C	TL5003
7887.000	8470.000	591.000	504.500	269.000	0.000	0.000	1.617	0.116	0.056	0.833	0.694	Test IM2C	TL5003
8503.000	8928.000	433.000	510.500	446.500	0.000	0.000	1.617	0.120	0.076	0.444	1.082	Test IM2C	TL5003
8961.000	9402.000	450.000	568.500	314.000	0.000	0.000	1.617	0.096	0.048	0.680	0.430	Test IM2C	TL5003
9427.000	9677.000	258.000	462.500	279.000	0.000	0.000	1.617	0.143	0.069	0.916	0.319	Test IM2C	TL5003
9710.000	9952.000	250.000	540.500	499.500	0.000	0.000	1.617	0.265	0.160	0.375	1.943	Test IM2C	TL5003
9985.000	10352.000	375.000	500.000	455.500	0.000	0.000	1.617	0.149	0.060	0.333	0.500	Test IM2C	TL5003
10385.000	10843.000	466.000	456.750	270.500	0.000	0.000	1.617	0.115	0.051	0.624	0.833	Test IM2C	TL5003
10876.000	11134.000	267.000	541.750	499.250	0.000	0.000	1.617	0.189	0.088	0.167	1.596	Test IM2C	TL5003
11168.000	11776.000	616.000	504.500	462.500	0.000	0.000	1.617	0.099	0.038	0.333	0.472	Test IM2C	TL5003
11809.000	12117.000	316.000	527.750	307.750	0.000	0.000	1.617	0.081	0.030	0.278	0.389	Test IM2C	TL5003
12142.000	12384.000	250.000	398.250	172.000	0.000	0.133	1.617	0.264	0.131	1.568	1.166	Test IM2C	TL5003
12417.000	12717.000	308.000	326.500	153.500	0.000	0.000	1.617	0.070	0.022	0.208	0.236	Test IM2C	TL5003
12750.000	13033.000	291.000	492.500	176.000	0.000	0.000	1.617	0.075	0.050	0.416	0.319	Test IM2C	TL5003
13066.000	13333.000	275.000	481.000	129.000	0.000	0.000	1.617	0.081	0.016	0.153	0.291	Test IM2C	TL5003
13366.000	14049.000	691.000	498.000	113.500	0.000	0.000	1.617	0.060	0.023	0.250	0.486	Test IM2C	TL5003
14440.000	14815.000	383.000	486.750	453.500	0.000	0.174	1.617	0.192	0.173	2.095	0.278	Test IM2C	TL5003
14848.000	15614.000	775.000	565.000	310.500	0.000	0.000	1.617	0.102	0.060	0.777	0.735	Test IM2C	TL5003
15648.000	15848.000	208.000	591.500	363.000	0.000	0.000	1.617	0.095	0.023	0.167	0.264	Test IM2C	TL5003
15881.000	16697.000	824.000	495.500	479.500	0.000	0.020	1.617	0.138	0.176	0.777	0.902	Test IM2C	TL5003
16722.000	17180.000	466.000	596.500	303.250	0.000	0.000	1.617	0.176	0.185	1.596	1.499	Test IM2C	TL5003
17213.000	17505.000	300.000	525.000	382.750	0.000	0.056	1.617	0.069	0.029	0.250	0.458	Test IM2C	TL5003
17538.000	18079.000	550.000	485.500	488.000	0.000	0.000	1.617	0.096	0.032	0.278	0.389	Test IM2C	TL5003
18113.000	18379.000	275.000	556.000	415.000	0.000	0.000	1.617	0.079	0.027	0.389	0.305	Test IM2C	TL5003
18412.000	18737.000	333.000	511.000	464.500	0.000	0.000	1.617	0.110	0.033	0.291	0.555	Test IM2C	TL5003
18771.000	19320.000	557.000	767.500	776.500	0.000	0.000	1.617	0.372	0.394	2.137	3.247	Test IM2C	TL5003
19362.000	19445.000	91.000	385.500	752.000	0.000	0.000	1.617	0.678	0.361	3.372	0.375	Test IM2C	TL5003
67267.000	67667.000	409.000	395.500	322.500	0.000	0.000	1.462	0.202	0.128	0.472	0.791	Test IM2C	TL5004
67709.000	67742.000	41.000	267.500	242.500	1.000	0.000	1.462	0.290	0.155	0.513	0.278	Test IM2C	TL5004
68017.000	68067.000	58.000	342.000	347.000	0.000	0.000	1.462	0.329	0.287	0.638	0.597	Test IM2C	TL5004
68092.000	68350.000	266.000	482.000	489.250	0.000	0.000	1.462	0.315	0.283	1.027	0.735	Test IM2C	TL5004
68375.000	68850.000	483.000	500.500	464.750	0.000	0.000	1.462	0.264	0.193	0.930	0.749	Test IM2C	TL5004
68875.000	70165.000	1299.000	499.000	514.750	0.000	0.000	1.462	0.207	0.136	0.958	0.638	Test IM2C	TL5004
70199.000	70682.000	491.000	279.500	483.000	0.000	0.000	1.462	0.245	0.140	0.583	0.819	Test IM2C	TL5004
70715.000	71323.000	616.000	484.000	490.000	0.000	0.000	1.462	0.240	0.158	1.277	0.749	Test IM2C	TL5004
71356.000	71648.000	300.000	251.750	437.750	0.000	0.000	1.462	0.386	0.680	1.610	1.637	Test IM2C	TL5004
71681.000	71856.000	183.000	302.250	445.250	0.000	0.000	1.462	0.258	0.213	0.666	0.874	Test IM2C	TL5004
73571.000	73937.000	374.000	531.500	416.500	0.000	0.000	1.462	0.304	0.305	1.277	1.776	Test IM2C	TL5004
73970.000	74203.000	242.000	460.000	518.000	0.000	0.000	1.462	0.136	0.097	0.666	0.278	Test IM2C	TL5004
74237.000	74845.000	616.000	489.250	487.500	1.000	0.000	1.462	0.154	0.077	0.624	0.472	Test IM2C	TL5004
105260.000	105643.000	391.000	409.000	278.000	0.000	0.000	1.403	0.160	0.098	0.389	0.708	Test IM2C	TL5005
105676.000	106092.000	425.000	590.000	336.750	1.000	0.098	1.403	0.776	1.675	2.484	6.564	Test IM2C	TL5005
106942.000	107067.000	133.000	617.000	250.500	1.000	0.000	1.403	0.175	0.061	0.333	0.805	Test IM2C	TL5005
107083.000	107367.000	292.000	609.000	294.000	0.000	0.000	1.403	1.492	1.375	2.512	6.217	Test IM2C	TL5005
107400.000	107650.000	258.000	541.000	336.000	0.000	0.000	1.403	0.389	0.361	1.055	1.443	Test IM2C	TL5005
108033.000	108216.000	191.000	510.000	463.250	1.000	0.304	1.403	1.618	2.009	1.693	3.011	Test IM2C	TL5005
108232.000	108291.000	67.000	522.250	429.500	0.000	0.000	1.403	1.681	1.191	2.054	2.442	Test IM2C	TL5005
139412.000	139628.000	224.000	375.500	277.000	0.000	0.000	1.458	0.088	0.023	0.153	0.278	Test IM2C	TL4001
139661.000	140344.000	691.000	306.500	133.500	0.000	0.000	1.458	0.070	0.029	0.278	0.416	Test IM2C	TL4001
140377.000	140669.000	300.000	257.250	136.250	0.000	0.000	1.458	0.100	0.063	0.569	0.375	Test IM2C	TL4001
140702.000	141110.000	417.000	153.000	300.000	0.000	0.000	1.458	0.142	0.064	0.583	0.694	Test IM2C	TL4001
141144.000	141535.000	399.000	277.750	158.000	0.000	0.000	1.458	0.102	0.041	0.458	0.416	Test IM2C	TL4001
141568.000	143200.000	1641.000	476.500	509.500	1.000	0.015	1.458	0.182	0.253	1.166	2.012	Test IM2C	TL4001
146623.000	147172.000	557.000	670.500	452.250	1.000	0.045	1.458	0.954	29.576	28.850	6.342	Test IM2C	TL4001
147205.000	148463.000	1266.000	813.500	423.000	0.000	0.020	1.458	0.118	0.186	0.749	0.749	Test IM2C	TL4001
148496.000	148705.000	217.000	708.000	532.250	0.000	0.000	1.458	0.242	0.092	0.819	0.652	Test IM2C	TL4001
148738.000	150228.000	1499.000	791.000	502.500	0.000	0.000	1.458	0.111	0.055	0.777	0.291	Test IM2C	TL4001
150262.000	150411.000	158.000	670.000	491.000	0.000	0.000	1.458	0.161	0.053	0.486	0.236	Test IM2C	TL4001
150445.000	150670.000	233.000	406.750	438.750	0.000	0.000	1.458	0.213	0.122	1.582	0.611	Test IM2C	TL4001
150695.000	151361.000	674.000	503.500	478.000	0.000	0.000	1.458	0.125	0.052	0.791	0.527	Test IM2C	TL4001
151403.000	151436.000	41.000	198.500	725.000	0.000	0.000	1.458	1.065	1.410	2.137	2.193	Test IM2C	TL4001
76920.000	76978.000	66.000	377.500	318.750	0.000	0.000	1.544	0.769	1.165	1.651	2.595	Test IM2C	TL4002
76995.000	77245.000	258.000	194.000	131.000	0.000	0.129	1.544	0.349	0.612	2.068	1.374	Test IM2C	TL4002
77278.000	77819.000	550.000	300.500	161.000	0.000	0.030	1.544	0.125	0.067	0.888	0.375	Test IM2C	TL4002
77853.000	78136.000	291.000	542.500	386.750	0.000	0.029	1.544	0.306	0.692	1.582	2.748	Test IM2C	TL4002
78169.000	78768.000	608.000	492.500	463.000	0.000	0.000	1.544	0.153	0.075	0.597	0.694	Test IM2C	TL4002
78802.000	79127.000	333.000	552.500	283.750	0.000	0.000	1.544	0.169	0.057	0.291	0.958	Test IM2C	TL4002
79160.000	79418.000	267.000	474.000	138.250	0.000	0.062	1.544	0.206	0.330	1.402	1.110	Test IM2C	TL4002
79460.000	80118.000	666.000	301.500	128.500	0.000	0.075	1.544	0.123	0.058	0.569	0.430	Test IM2C	TL4002
80184.000	80393.000	217.000	493.750	422.750	1.000	0.000	1.544	0.153	0.072	0.638	0.652	Test IM2C	TL4002
80426.000	81126.000	708.000	499.000	469.000	0.000	0.000	1.544	0.128	0.050	0.472	0.347	Test IM2C	TL4002
81292.000	81442.000	158.000	389.000	197.000	1.000	0.105	1.544	0.175	0.101	0.278	0.638	Test IM2C	TL4002
