FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
19119.000	19460.000	349.000	391.000	310.500	0.000	0.000	1.550	0.088	0.023	0.222	0.278	Test IM2C	TL5001
19493.000	20043.000	558.000	193.000	302.000	0.000	0.000	1.550	0.118	0.079	1.221	0.319	Test IM2C	TL5001
20076.000	20309.000	242.000	390.500	163.000	0.000	0.000	1.550	0.161	0.077	0.666	0.971	Test IM2C	TL5001
20343.000	20592.000	258.000	319.000	124.000	0.000	0.000	1.550	0.077	0.035	0.375	0.305	Test IM2C	TL5001
20626.000	21134.000	516.000	288.750	119.250	0.000	0.000	1.550	0.094	0.027	0.541	0.486	Test IM2C	TL5001
21167.000	21567.000	408.000	315.000	460.000	0.000	0.000	1.550	0.386	0.744	3.108	3.206	Test IM2C	TL5001
21600.000	22166.000	575.000	169.500	317.500	0.000	0.000	1.550	0.108	0.059	0.888	0.847	Test IM2C	TL5001
22200.000	22424.000	233.000	374.500	454.000	0.000	0.000	1.550	0.262	0.079	1.263	0.541	Test IM2C	TL5001
22458.000	22632.000	183.000	443.500	449.000	0.000	0.000	1.550	0.083	0.017	0.291	0.153	Test IM2C	TL5001
22666.000	23041.000	383.000	482.000	476.250	0.000	0.000	1.550	0.168	0.058	0.541	0.444	Test IM2C	TL5001
23074.000	24015.000	949.000	507.500	496.500	0.000	0.026	1.550	0.085	0.085	0.375	0.638	Test IM2C	TL5001
24048.000	24523.000	483.000	502.500	481.500	0.000	0.000	1.550	0.209	0.101	0.944	0.611	Test IM2C	TL5001
24564.000	24823.000	267.000	127.000	181.000	0.000	0.000	1.550	0.411	0.200	2.845	2.262	Test IM2C	TL5001
24856.000	25214.000	366.000	240.500	95.750	0.000	0.000	1.550	0.139	0.100	1.152	0.958	Test IM2C	TL5001
25247.000	25522.000	283.000	431.000	425.000	0.000	0.000	1.550	0.348	0.337	0.791	3.358	Test IM2C	TL5001
25555.000	26996.000	1449.000	508.000	486.750	0.000	0.000	1.550	0.080	0.112	0.763	0.375	Test IM2C	TL5001
27029.000	27912.000	891.000	498.000	487.000	0.000	0.000	1.550	0.053	0.019	0.264	0.278	Test IM2C	TL5001
27945.000	28437.000	500.000	520.000	490.500	0.000	0.000	1.550	0.196	0.075	1.013	1.499	Test IM2C	TL5001
28478.000	28695.000	225.000	785.750	51.500	0.000	0.111	1.550	0.539	1.453	2.109	4.385	Test IM2C	TL5001
18339.000	18414.000	83.000	398.250	329.000	0.000	0.000	1.620	0.139	0.059	0.264	0.347	Test IM2C	TL5002
18439.000	18789.000	358.000	285.000	239.000	0.000	0.000	1.620	0.125	0.076	0.666	0.735	Test IM2C	TL5002
18814.000	19372.000	566.000	536.000	182.000	0.000	0.000	1.620	0.208	0.237	2.470	0.805	Test IM2C	TL5002
19397.000	19638.000	249.000	256.000	363.000	0.000	0.000	1.620	0.379	0.291	2.276	1.929	Test IM2C	TL5002
19671.000	20196.000	533.000	211.000	342.500	0.000	0.000	1.620	0.105	0.066	0.402	0.486	Test IM2C	TL5002
20221.000	20787.000	575.000	320.500	126.500	0.000	0.000	1.620	0.181	0.264	0.791	2.401	Test IM2C	TL5002
20820.000	21104.000	292.000	582.500	133.500	0.000	0.000	1.620	0.162	0.088	1.013	0.264	Test IM2C	TL5002
22469.000	22644.000	183.000	523.750	217.250	1.000	0.000	1.620	0.095	0.031	0.278	0.375	Test IM2C	TL5002
22677.000	22927.000	259.000	517.000	161.000	0.000	0.000	1.620	0.066	0.017	0.180	0.208	Test IM2C	TL5002
22961.000	23702.000	749.000	301.000	149.500	0.000	0.000	1.620	0.088	0.087	0.860	0.472	Test IM2C	TL5002
23735.000	24110.000	383.000	228.750	341.500	0.000	0.000	1.620	0.124	0.056	0.250	0.902	Test IM2C	TL5002
24143.000	24343.000	208.000	167.500	317.000	1.000	0.000	1.620	0.128	0.081	0.666	0.347	Test IM2C	TL5002
21727.000	21943.000	224.000	404.000	306.000	0.000	0.000	1.293	0.065	0.018	0.167	0.264	Test IM2C	TL5003
21976.000	22260.000	292.000	335.000	218.500	0.000	0.000	1.293	0.099	0.034	0.458	0.416	Test IM2C	TL5003
22293.000	22526.000	241.000	360.000	147.000	0.000	0.000	1.293	0.102	0.035	0.402	0.250	Test IM2C	TL5003
22559.000	22834.000	284.000	583.500	199.250	0.000	0.000	1.293	0.159	0.096	1.041	0.708	Test IM2C	TL5003
22876.000	23117.000	250.000	480.000	144.000	0.000	0.000	1.293	0.059	0.015	0.194	0.236	Test IM2C	TL5003
23159.000	23709.000	558.000	582.000	103.000	0.000	0.000	1.293	0.063	0.022	0.305	0.250	Test IM2C	TL5003
23758.000	23892.000	142.000	599.500	353.500	1.000	0.647	1.293	1.344	8.513	2.345	2.886	Test IM2C	TL5003
24117.000	24150.000	41.000	555.000	349.000	1.000	0.000	1.293	0.045	0.004	0.056	0.069	Test IM2C	TL5003
24175.000	24658.000	491.000	632.500	306.000	0.000	0.000	1.293	0.083	0.036	0.666	0.222	Test IM2C	TL5003
24691.000	26748.000	2065.000	534.500	487.500	1.000	0.000	1.293	0.129	0.154	0.791	1.360	Test IM2C	TL5003
27181.000	27472.000	300.000	36.500	667.500	1.000	0.083	1.293	0.117	0.088	0.513	0.472	Test IM2C	TL5003
27514.000	27955.000	450.000	316.500	498.000	0.000	0.093	1.293	0.185	0.255	1.443	0.722	Test IM2C	TL5003
27989.000	28197.000	216.000	481.500	502.000	0.000	0.000	1.293	0.135	0.067	0.791	0.278	Test IM2C	TL5003
28230.000	33801.000	5579.000	530.500	489.000	0.000	0.000	1.293	0.078	0.087	0.749	0.708	Test IM2C	TL5003
23532.000	23824.000	300.000	400.500	291.750	0.000	0.000	1.494	0.128	0.040	0.236	0.430	Test IM2C	TL5004
23857.000	24040.000	192.000	276.500	257.500	0.000	0.000	1.494	0.157	0.091	0.735	0.333	Test IM2C	TL5004
24074.000	24498.000	433.000	205.000	297.000	1.000	0.000	1.494	0.187	0.086	0.333	0.874	Test IM2C	TL5004
24732.000	24890.000	166.000	396.500	394.250	1.000	0.000	1.494	0.181	0.046	0.361	0.319	Test IM2C	TL5004
24915.000	25190.000	283.000	530.750	454.500	0.000	0.000	1.494	0.174	0.074	0.722	0.278	Test IM2C	TL5004
25223.000	25839.000	624.000	527.500	493.500	0.000	0.000	1.494	0.172	0.078	0.666	0.458	Test IM2C	TL5004
25864.000	26672.000	816.000	522.000	449.250	0.000	0.000	1.494	0.162	0.254	0.652	0.971	Test IM2C	TL5004
