FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
92406.000	92456.000	58.000	361.500	284.000	0.000	0.000	1.539	0.996	0.957	1.457	4.524	Test IM2C	TL5001
92473.000	92897.000	433.000	246.500	13.750	0.000	0.000	1.539	0.228	0.300	1.193	1.957	Test IM2C	TL5001
92922.000	93239.000	325.000	212.000	-43.500	0.000	0.000	1.539	0.076	0.057	0.361	0.513	Test IM2C	TL5001
93264.000	93955.000	699.000	274.500	-245.500	0.000	0.000	1.539	0.196	0.330	2.317	1.443	Test IM2C	TL5001
93997.000	94246.000	258.000	867.500	162.000	0.000	0.000	1.539	0.631	0.895	5.412	3.664	Test IM2C	TL5001
94280.000	94555.000	283.000	671.500	222.000	0.000	0.000	1.539	0.207	0.115	0.999	0.569	Test IM2C	TL5001
94588.000	94846.000	266.000	759.000	191.750	0.000	0.000	1.539	0.090	0.035	0.333	0.250	Test IM2C	TL5001
94879.000	95096.000	225.000	801.000	181.500	0.000	0.000	1.539	0.117	0.040	0.486	0.236	Test IM2C	TL5001
95129.000	95512.000	391.000	507.000	154.500	0.000	0.000	1.539	0.120	0.100	1.013	0.444	Test IM2C	TL5001
95545.000	95854.000	317.000	301.500	137.000	0.000	0.000	1.539	0.082	0.045	0.541	0.264	Test IM2C	TL5001
95887.000	96353.000	475.000	297.000	118.000	0.000	0.000	1.539	0.105	0.039	0.264	0.500	Test IM2C	TL5001
96387.000	96761.000	383.000	243.000	-211.000	0.000	0.000	1.539	0.371	0.402	1.235	3.192	Test IM2C	TL5001
96794.000	97236.000	450.000	274.000	-257.500	0.000	0.000	1.539	0.230	0.117	1.429	1.471	Test IM2C	TL5001
97269.000	97511.000	250.000	50.250	-310.250	0.000	0.000	1.539	0.242	0.304	1.749	0.555	Test IM2C	TL5001
97544.000	97827.000	291.000	27.500	-295.000	0.000	0.000	1.539	0.612	0.281	1.887	2.012	Test IM2C	TL5001
97860.000	98202.000	350.000	189.500	-238.000	0.000	0.000	1.539	0.331	0.258	1.915	1.749	Test IM2C	TL5001
98235.000	98751.000	525.000	593.500	350.500	0.000	0.127	1.539	0.839	2.827	3.289	5.579	Test IM2C	TL5001
98785.000	99226.000	449.000	519.000	100.500	0.000	0.000	1.539	0.202	0.233	1.499	2.179	Test IM2C	TL5001
99259.000	100067.000	816.000	464.000	-55.000	0.000	0.000	1.539	0.081	0.052	0.624	0.555	Test IM2C	TL5001
100100.000	100725.000	633.000	749.000	13.500	0.000	0.000	1.539	0.135	0.157	1.485	0.569	Test IM2C	TL5001
100750.000	101158.000	416.000	767.000	-16.000	0.000	0.000	1.539	0.546	0.189	1.471	2.748	Test IM2C	TL5001
101191.000	101591.000	408.000	784.000	-32.500	0.000	0.000	1.539	0.120	0.045	0.652	0.291	Test IM2C	TL5001
101624.000	102307.000	692.000	480.500	-46.000	0.000	0.000	1.539	0.161	0.160	2.234	0.389	Test IM2C	TL5001
102340.000	103631.000	1299.000	777.500	29.750	0.000	0.026	1.539	0.130	0.216	1.860	1.152	Test IM2C	TL5001
