FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
140571.000	140854.000	291.000	46.500	-247.500	0.000	0.000	1.607	0.936	0.800	1.741	2.451	Test IM2C	TL5001
140887.000	141012.000	133.000	360.000	196.000	1.000	0.062	1.607	2.164	11.339	4.636	9.112	Test IM2C	TL5001
141853.000	142145.000	300.000	476.000	144.000	1.000	0.167	1.607	1.055	1.817	2.132	2.807	Test IM2C	TL5001
142170.000	142411.000	249.000	-33.000	-357.000	0.000	0.000	1.607	1.474	11.261	10.853	9.343	Test IM2C	TL5001
142444.000	142686.000	250.000	-77.000	-254.000	0.000	0.000	1.607	1.711	2.090	4.085	3.233	Test IM2C	TL5001
142711.000	143069.000	366.000	-28.000	-279.500	0.000	0.000	1.607	0.792	0.996	2.203	2.167	Test IM2C	TL5001
143102.000	143185.000	92.000	452.000	335.000	1.000	0.364	1.607	2.850	46.726	5.720	12.079	Test IM2C	TL5001
144518.000	145009.000	500.000	475.000	152.000	1.000	0.183	1.607	0.988	1.255	1.705	2.629	Test IM2C	TL5001
145076.000	145317.000	250.000	232.000	133.750	1.000	0.000	1.607	0.917	1.888	1.670	3.517	Test IM2C	TL5001
146891.000	147749.000	866.000	70.500	-257.000	1.000	0.106	1.607	0.448	0.926	2.487	2.416	Test IM2C	TL5001
147799.000	147932.000	141.000	701.500	418.500	1.000	0.059	1.607	1.742	4.893	6.750	5.400	Test IM2C	TL5001
148973.000	149040.000	75.000	477.000	145.000	1.000	0.000	1.607	1.539	2.638	1.421	3.766	Test IM2C	TL5001
149073.000	149339.000	275.000	456.250	-30.000	1.000	0.091	1.607	0.504	0.803	1.243	1.954	Test IM2C	TL5001
149373.000	149905.000	541.000	213.000	-49.000	0.000	0.108	1.607	0.445	0.724	2.327	1.794	Test IM2C	TL5001
149939.000	150089.000	158.000	356.500	-34.500	1.000	0.053	1.607	0.584	0.623	0.888	1.190	Test IM2C	TL5001
150189.000	150397.000	216.000	349.000	-30.500	1.000	0.154	1.607	0.322	0.258	0.835	0.835	Test IM2C	TL5001
150430.000	150755.000	333.000	79.000	-33.000	0.000	0.275	1.607	0.712	2.400	3.801	1.847	Test IM2C	TL5001
150788.000	150913.000	133.000	12.250	-43.750	1.000	0.000	1.607	0.353	0.282	0.622	0.853	Test IM2C	TL5001
151546.000	151937.000	400.000	51.500	-239.500	1.000	0.000	1.607	0.613	1.183	1.883	2.291	Test IM2C	TL5001
151971.000	152487.000	524.000	-74.500	-281.500	0.000	0.000	1.607	0.773	0.863	2.878	2.753	Test IM2C	TL5001
152520.000	152603.000	91.000	86.000	-251.000	0.000	0.000	1.607	0.432	0.464	0.693	0.870	Test IM2C	TL5001
83549.000	83782.000	241.000	500.000	173.500	1.000	0.000	1.551	0.151	0.066	0.462	0.337	Test IM2C	TL5002
83949.000	84082.000	141.000	147.000	418.500	1.000	0.000	1.551	0.322	0.265	0.799	0.959	Test IM2C	TL5002
84115.000	84482.000	375.000	241.000	358.500	1.000	0.000	1.551	0.349	0.480	0.959	1.314	Test IM2C	TL5002
84990.000	85772.000	791.000	300.250	427.250	0.000	0.179	1.551	0.697	1.325	2.274	2.735	Test IM2C	TL5002
88778.000	88928.000	159.000	293.000	406.500	1.000	0.000	1.551	0.121	0.054	0.462	0.249	Test IM2C	TL5002
88962.000	89228.000	274.000	373.000	469.000	0.000	0.182	1.551	0.388	0.329	0.764	0.853	Test IM2C	TL5002
89278.000	89886.000	616.000	296.000	422.000	1.000	0.095	1.551	0.847	1.368	2.203	3.268	Test IM2C	TL5002
89928.000	90286.000	366.000	492.000	492.000	0.000	0.205	1.551	1.167	1.190	1.599	3.020	Test IM2C	TL5002
90311.000	90794.000	491.000	584.000	340.000	0.000	0.000	1.551	0.270	0.374	1.528	1.101	Test IM2C	TL5002
90827.000	91093.000	275.000	496.000	103.500	0.000	0.000	1.551	0.218	0.196	0.426	1.670	Test IM2C	TL5002
49997.000	50172.000	183.000	429.750	303.250	0.000	0.000	1.599	0.070	0.020	0.178	0.231	Test IM2C	TL5003
50205.000	50489.000	292.000	376.000	218.000	0.000	0.000	1.599	0.091	0.027	0.249	0.373	Test IM2C	TL5003
50522.000	50797.000	283.000	512.500	136.750	0.000	0.000	1.599	0.184	0.144	1.439	0.355	Test IM2C	TL5003
50830.000	51771.000	949.000	512.000	159.500	1.000	0.000	1.599	0.100	0.095	0.675	0.746	Test IM2C	TL5003
52021.000	52146.000	133.000	459.750	298.250	1.000	0.125	1.599	0.092	0.036	0.231	0.320	Test IM2C	TL5003
52179.000	52354.000	183.000	531.000	247.500	0.000	0.000	1.599	0.106	0.049	0.409	0.284	Test IM2C	TL5003
52379.000	52737.000	366.000	508.250	174.000	0.000	0.000	1.599	0.103	0.038	0.266	0.337	Test IM2C	TL5003
52770.000	53370.000	608.000	514.000	156.500	0.000	0.000	1.599	0.077	0.045	0.302	0.462	Test IM2C	TL5003
53403.000	53694.000	300.000	553.000	338.500	0.000	0.000	1.599	0.149	0.110	0.284	1.119	Test IM2C	TL5003
53728.000	54227.000	508.000	487.500	482.500	0.000	0.000	1.599	0.210	0.438	1.528	0.675	Test IM2C	TL5003
54261.000	54652.000	400.000	543.500	216.500	0.000	0.250	1.599	0.505	2.090	2.593	4.334	Test IM2C	TL5003
54685.000	55751.000	1075.000	498.500	151.500	0.000	0.000	1.599	0.096	0.135	0.782	0.693	Test IM2C	TL5003
59315.000	59515.000	208.000	489.000	515.000	1.000	0.240	1.599	1.617	2.254	6.075	0.853	Test IM2C	TL5003
59557.000	59632.000	83.000	516.500	518.000	1.000	0.200	1.599	0.230	0.440	1.314	0.462	Test IM2C	TL5003
60007.000	60106.000	108.000	499.000	547.000	1.000	0.308	1.599	0.523	1.280	1.634	1.314	Test IM2C	TL5003
60123.000	60348.000	233.000	473.000	582.000	1.000	0.393	1.599	0.769	1.395	2.522	0.995	Test IM2C	TL5003
61039.000	61072.000	42.000	459.000	214.500	1.000	0.000	1.599	0.250	0.062	0.213	0.409	Test IM2C	TL5003
61089.000	61930.000	849.000	498.000	152.500	0.000	0.000	1.599	0.098	0.112	0.551	0.835	Test IM2C	TL5003
61980.000	62047.000	83.000	-222.000	351.000	1.000	0.000	1.599	4.481	51.299	25.720	8.224	Test IM2C	TL5003
7344.000	7703.000	367.000	377.250	296.000	0.000	0.000	1.468	0.135	0.104	0.497	0.551	Test IM2C	TL5004
7736.000	7919.000	191.000	357.500	233.500	0.000	0.000	1.468	0.191	0.085	0.284	0.711	Test IM2C	TL5004
7952.000	8294.000	350.000	300.000	142.000	0.000	0.000	1.468	0.264	0.199	0.462	1.190	Test IM2C	TL5004
8327.000	8577.000	258.000	461.500	144.500	0.000	0.000	1.468	0.171	0.164	0.426	1.084	Test IM2C	TL5004
8602.000	9151.000	558.000	502.500	154.500	0.000	0.000	1.468	0.138	0.084	0.568	0.497	Test IM2C	TL5004
9185.000	9992.000	816.000	512.500	172.500	0.000	0.000	1.468	0.157	0.083	0.480	0.604	Test IM2C	TL5004
10026.000	10242.000	225.000	492.000	170.500	0.000	0.000	1.468	0.141	0.049	0.266	0.320	Test IM2C	TL5004
10276.000	10650.000	383.000	278.000	153.000	0.000	0.022	1.468	0.246	0.186	1.385	0.586	Test IM2C	TL5004
10684.000	11042.000	366.000	487.000	134.000	0.000	0.000	1.468	0.213	0.182	1.155	0.711	Test IM2C	TL5004
11067.000	11691.000	633.000	506.000	169.000	0.000	0.000	1.468	0.166	0.157	0.657	0.817	Test IM2C	TL5004
11716.000	12815.000	1108.000	469.000	186.500	0.000	0.000	1.468	0.172	0.320	1.350	0.924	Test IM2C	TL5004
12849.000	14115.000	1274.000	465.500	187.500	0.000	0.000	1.468	0.166	0.366	1.314	0.817	Test IM2C	TL5004
14139.000	15555.000	1424.000	508.500	166.500	0.000	0.000	1.468	0.148	0.250	1.190	0.746	Test IM2C	TL5004
15588.000	15821.000	242.000	490.500	167.000	0.000	0.000	1.468	0.165	0.103	0.409	0.497	Test IM2C	TL5004
15855.000	16296.000	449.000	274.000	148.250	0.000	0.000	1.468	0.239	0.270	1.581	0.835	Test IM2C	TL5004
16329.000	16546.000	225.000	459.000	143.000	0.000	0.000	1.468	0.197	0.108	0.426	0.604	Test IM2C	TL5004
16579.000	17246.000	675.000	500.000	143.000	0.000	0.000	1.468	0.138	0.055	0.480	0.355	Test IM2C	TL5004
17279.000	17703.000	433.000	294.500	157.500	0.000	0.000	1.468	0.184	0.109	0.995	0.586	Test IM2C	TL5004
17745.000	18012.000	275.000	477.500	148.500	0.000	0.000	1.468	0.150	0.080	0.391	0.533	Test IM2C	TL5004
18045.000	18744.000	708.000	504.500	151.500	0.000	0.000	1.468	0.159	0.374	0.870	1.119	Test IM2C	TL5004
18778.000	19177.000	408.000	533.500	142.000	1.000	0.000	1.468	0.258	0.201	0.782	1.208	Test IM2C	TL5004
75032.000	75490.000	466.000	287.250	339.250	1.000	0.000	1.511	0.316	0.279	0.799	1.332	Test IM2C	TL5005
75898.000	76181.000	291.000	309.000	386.000	1.000	0.000	1.511	0.769	1.474	1.901	2.771	Test IM2C	TL5005
76214.000	76422.000	217.000	560.750	178.000	0.000	0.000	1.511	0.415	0.474	2.291	2.558	Test IM2C	TL5005
76456.000	77388.000	941.000	521.500	135.500	1.000	0.000	1.511	0.170	0.241	0.639	1.297	Test IM2C	TL5005
86374.000	86457.000	91.000	-24.000	592.500	1.000	0.000	1.511	1.228	2.272	4.103	1.510	Test IM2C	TL5005
86482.000	86757.000	284.000	487.500	257.500	0.000	0.000	1.511	0.596	1.243	4.423	3.695	Test IM2C	TL5005
93937.000	94161.000	233.000	411.500	294.750	0.000	0.000	1.516	0.171	0.056	0.249	0.693	Test IM2C	TL4001
94195.000	94378.000	191.000	447.000	217.000	0.000	0.000	1.516	0.180	0.109	0.462	0.622	Test IM2C	TL4001
94411.000	94802.000	400.000	492.500	134.000	0.000	0.021	1.516	0.194	0.101	0.782	0.533	Test IM2C	TL4001
94836.000	96301.000	1474.000	477.000	155.000	0.000	0.000	1.516	0.115	0.153	0.568	0.870	Test IM2C	TL4001
96334.000	96843.000	517.000	290.000	147.250	0.000	0.000	1.516	0.165	0.198	0.924	0.835	Test IM2C	TL4001
134361.000	134411.000	59.000	395.500	312.500	0.000	0.000	1.404	0.708	0.662	1.314	2.132	Test IM2C	TL4002
134436.000	134761.000	333.000	265.000	158.500	0.000	0.000	1.404	0.208	0.194	1.137	0.586	Test IM2C	TL4002
134803.000	135136.000	341.000	512.000	159.000	0.000	0.000	1.404	0.261	0.167	1.368	0.568	Test IM2C	TL4002
135169.000	136143.000	983.000	489.500	132.250	0.000	0.034	1.404	0.174	0.264	1.190	0.977	Test IM2C	TL4002
136176.000	136501.000	334.000	269.500	153.000	0.000	0.000	1.404	0.224	0.187	1.332	0.711	Test IM2C	TL4002
136535.000	138616.000	2090.000	482.000	139.000	0.000	0.064	1.404	0.167	0.296	1.812	1.119	Test IM2C	TL4002
138658.000	138991.000	342.000	264.500	150.500	1.000	0.049	1.404	0.204	0.153	0.746	0.639	Test IM2C	TL4002
139033.000	139374.000	350.000	472.000	144.500	0.000	0.119	1.404	0.176	0.152	0.746	0.782	Test IM2C	TL4002
139408.000	140715.000	1315.000	499.500	142.500	0.000	0.044	1.404	0.149	0.097	0.604	0.480	Test IM2C	TL4002
140773.000	141465.000	700.000	276.500	141.000	1.000	0.095	1.404	0.393	0.957	5.045	4.299	Test IM2C	TL4002
141556.000	141848.000	300.000	487.250	772.500	1.000	0.056	1.404	0.526	0.959	1.581	1.474	Test IM2C	TL4002
141881.000	143131.000	1258.000	377.500	740.500	0.000	0.000	1.404	0.388	0.685	2.274	1.314	Test IM2C	TL4002
143164.000	143364.000	208.000	336.500	739.500	0.000	0.000	1.404	0.302	0.181	0.622	0.604	Test IM2C	TL4002
143405.000	143563.000	167.000	168.500	425.000	1.000	0.050	1.404	0.677	1.532	2.558	4.228	Test IM2C	TL4002
143597.000	143854.000	266.000	303.750	246.500	0.000	0.250	1.404	0.216	0.168	0.675	0.728	Test IM2C	TL4002
143888.000	144121.000	241.000	561.000	239.000	0.000	0.000	1.404	0.391	0.638	2.558	0.622	Test IM2C	TL4002
144154.000	144387.000	242.000	470.500	148.500	0.000	0.069	1.404	0.258	0.297	1.616	0.533	Test IM2C	TL4002
144421.000	146086.000	1674.000	497.000	136.500	0.000	0.030	1.404	0.152	0.140	0.924	0.764	Test IM2C	TL4002
146119.000	146403.000	293.000	298.500	146.000	0.000	0.114	1.404	0.273	0.323	1.172	0.853	Test IM2C	TL4002
88530.000	88921.000	400.000	399.000	328.750	0.000	0.000	1.421	0.240	0.167	0.568	0.959	Test IM2C	TL6001
88955.000	89288.000	341.000	331.500	153.000	0.000	0.000	1.421	0.213	0.499	0.746	1.865	Test IM2C	TL6001
89329.000	89429.000	109.000	480.000	167.000	1.000	0.000	1.421	0.380	0.211	0.284	1.030	Test IM2C	TL6001
89721.000	90679.000	966.000	513.000	143.250	1.000	0.000	1.421	0.150	0.230	0.568	1.119	Test IM2C	TL6001
90712.000	90920.000	216.000	373.250	140.750	0.000	0.000	1.421	0.214	0.334	0.888	1.048	Test IM2C	TL6001
90953.000	91445.000	500.000	478.500	148.000	0.000	0.000	1.421	0.101	0.096	0.551	0.728	Test IM2C	TL6001
91478.000	91778.000	308.000	307.000	164.000	0.000	0.000	1.421	0.119	0.069	0.711	0.355	Test IM2C	TL6001
91811.000	92078.000	275.000	202.000	276.500	0.000	0.000	1.421	0.166	0.120	0.675	0.941	Test IM2C	TL6001
92111.000	92344.000	241.000	182.000	305.000	0.000	0.000	1.421	0.170	0.082	0.409	0.409	Test IM2C	TL6001
92386.000	92694.000	316.000	485.500	114.000	0.000	0.000	1.421	0.250	0.429	1.492	1.243	Test IM2C	TL6001
92727.000	92852.000	133.000	636.000	82.500	1.000	0.000	1.421	0.607	1.050	2.380	1.634	Test IM2C	TL6001
92985.000	94934.000	1957.000	518.500	134.500	1.000	0.000	1.421	0.108	0.292	0.746	1.616	Test IM2C	TL6001
94967.000	95342.000	383.000	309.250	155.500	0.000	0.000	1.421	0.155	0.112	1.012	0.391	Test IM2C	TL6001
95375.000	98423.000	3056.000	523.750	140.500	1.000	0.068	1.421	0.201	0.621	1.670	1.687	Test IM2C	TL6001
53836.000	54327.000	499.000	432.500	316.500	0.000	0.183	1.428	0.315	0.280	0.711	1.350	Test IM2C	TL6002
54360.000	55501.000	1149.000	502.500	150.500	0.000	0.000	1.428	0.201	0.397	1.048	1.403	Test IM2C	TL6002
55568.000	55859.000	300.000	496.000	376.000	1.000	0.278	1.428	0.278	0.166	0.675	0.444	Test IM2C	TL6002
55901.000	55984.000	91.000	529.000	346.000	1.000	0.182	1.428	0.363	0.238	0.711	0.941	Test IM2C	TL6002
56034.000	56359.000	333.000	480.000	195.500	0.000	0.000	1.428	0.242	0.228	0.870	0.977	Test IM2C	TL6002
56375.000	57799.000	1433.000	491.000	159.000	0.000	0.017	1.428	0.214	0.206	0.870	1.421	Test IM2C	TL6002
57841.000	58074.000	241.000	754.500	38.000	0.000	0.000	1.428	0.204	0.165	1.084	0.497	Test IM2C	TL6002
58107.000	58490.000	392.000	778.500	-27.500	1.000	0.000	1.428	0.138	0.081	0.355	0.622	Test IM2C	TL6002
61488.000	61672.000	192.000	513.500	190.500	1.000	0.000	1.428	0.201	0.159	0.551	0.622	Test IM2C	TL6002
61697.000	62954.000	1265.000	502.000	154.000	0.000	0.013	1.428	0.128	0.140	0.693	0.622	Test IM2C	TL6002
62987.000	63604.000	625.000	602.000	313.000	0.000	0.000	1.428	0.163	0.129	0.675	0.639	Test IM2C	TL6002
63637.000	63887.000	258.000	514.000	210.500	0.000	0.000	1.428	0.127	0.065	0.586	0.391	Test IM2C	TL6002
