FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
48796.000	49371.000	583.000	323.000	166.500	0.000	0.000	1.468	0.064	0.017	0.208	0.250	Test IM2C	TL5001
49404.000	50254.000	858.000	314.000	148.000	0.000	0.000	1.468	0.056	0.021	0.153	0.361	Test IM2C	TL5001
50287.000	50620.000	341.000	298.000	132.500	0.000	0.000	1.468	0.054	0.016	0.222	0.167	Test IM2C	TL5001
50653.000	51203.000	558.000	308.500	150.000	0.000	0.000	1.468	0.053	0.025	0.222	0.291	Test IM2C	TL5001
51236.000	52494.000	1266.000	319.000	165.500	0.000	0.000	1.468	0.058	0.020	0.208	0.319	Test IM2C	TL5001
52535.000	52868.000	342.000	116.000	-28.000	0.000	0.000	1.468	0.260	0.232	2.012	1.485	Test IM2C	TL5001
52893.000	53460.000	575.000	83.500	-70.500	0.000	0.000	1.468	0.058	0.015	0.208	0.250	Test IM2C	TL5001
53493.000	53759.000	275.000	178.000	-176.500	0.000	0.000	1.468	0.157	0.205	1.069	0.860	Test IM2C	TL5001
53793.000	54725.000	941.000	169.500	-237.500	0.000	0.000	1.468	0.067	0.030	0.153	0.680	Test IM2C	TL5001
54759.000	55100.000	349.000	247.000	-240.250	0.000	0.000	1.468	0.129	0.052	0.611	0.874	Test IM2C	TL5001
55133.000	55558.000	433.000	629.500	300.000	0.000	0.058	1.468	0.413	0.491	4.121	5.620	Test IM2C	TL5001
55591.000	55799.000	217.000	623.750	248.000	0.000	0.000	1.468	0.060	0.027	0.305	0.180	Test IM2C	TL5001
55833.000	56099.000	275.000	498.000	174.500	0.000	0.000	1.468	0.064	0.052	0.486	0.305	Test IM2C	TL5001
56133.000	56307.000	183.000	522.500	128.000	0.000	0.000	1.468	0.097	0.023	0.194	0.305	Test IM2C	TL5001
56341.000	56632.000	299.000	295.500	119.500	0.000	0.000	1.468	0.099	0.029	0.708	0.153	Test IM2C	TL5001
56665.000	57656.000	1000.000	323.000	159.500	0.000	0.000	1.468	0.062	0.045	0.236	0.513	Test IM2C	TL5001
57690.000	57998.000	316.000	203.500	-116.750	0.000	0.000	1.468	0.311	0.998	2.803	2.664	Test IM2C	TL5001
58031.000	58348.000	325.000	168.500	-218.000	0.000	0.000	1.468	0.102	0.063	0.375	0.680	Test IM2C	TL5001
58381.000	58589.000	216.000	228.000	-234.000	0.000	0.000	1.468	0.096	0.054	0.264	0.583	Test IM2C	TL5001
58622.000	59122.000	508.000	250.500	-238.500	0.000	0.000	1.468	0.057	0.029	0.208	0.402	Test IM2C	TL5001
59155.000	60787.000	1640.000	167.500	-227.500	0.000	0.000	1.468	0.050	0.063	0.472	0.569	Test IM2C	TL5001
4341.000	4607.000	275.000	231.500	180.000	0.000	0.000	1.519	0.236	0.179	1.887	1.790	Test IM2C	TL5002
4641.000	5332.000	699.000	354.000	191.000	0.000	0.000	1.519	0.088	0.040	0.347	0.375	Test IM2C	TL5002
5365.000	5690.000	333.000	362.500	171.500	0.000	0.000	1.519	0.063	0.012	0.180	0.194	Test IM2C	TL5002
5723.000	7155.000	1441.000	342.500	180.500	0.000	0.000	1.519	0.068	0.028	0.278	0.361	Test IM2C	TL5002
7189.000	7613.000	433.000	538.500	177.500	0.000	0.000	1.519	0.090	0.036	0.722	0.180	Test IM2C	TL5002
7647.000	8704.000	1066.000	654.750	299.500	0.000	0.000	1.519	0.103	0.212	0.860	1.069	Test IM2C	TL5002
8738.000	8962.000	233.000	446.750	193.500	0.000	0.000	1.519	0.226	0.137	1.429	1.041	Test IM2C	TL5002
8996.000	9620.000	633.000	534.500	190.750	0.000	0.000	1.519	0.064	0.021	0.319	0.291	Test IM2C	TL5002
11327.000	11636.000	317.000	536.000	200.750	1.000	0.000	1.519	0.061	0.024	0.208	0.236	Test IM2C	TL5002
11669.000	13234.000	1574.000	355.500	187.000	0.000	0.000	1.519	0.070	0.159	0.624	0.888	Test IM2C	TL5002
13268.000	13484.000	225.000	579.500	220.500	0.000	0.000	1.519	0.104	0.049	0.708	0.208	Test IM2C	TL5002
13518.000	14034.000	524.000	531.000	207.000	0.000	0.000	1.519	0.122	0.071	0.652	0.444	Test IM2C	TL5002
15433.000	15874.000	449.000	370.500	184.500	1.000	0.259	1.519	0.627	0.757	5.842	1.207	Test IM2C	TL5002
15907.000	16240.000	342.000	534.500	177.500	0.000	0.000	1.519	0.126	0.042	1.082	0.167	Test IM2C	TL5002
16274.000	16382.000	116.000	518.500	196.250	0.000	0.000	1.519	0.079	0.012	0.139	0.167	Test IM2C	TL5002
65503.000	65586.000	91.000	421.500	295.000	0.000	0.000	1.441	0.229	0.107	0.361	0.763	Test IM2C	TL5003
65611.000	65902.000	300.000	320.500	148.500	0.000	0.000	1.441	0.092	0.067	0.430	0.541	Test IM2C	TL5003
65936.000	66152.000	225.000	382.500	179.500	0.000	0.000	1.441	0.073	0.020	0.319	0.180	Test IM2C	TL5003
