FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
4329.000	4563.000	242.000	379.000	288.500	0.000	0.000	1.652	0.096	0.025	0.250	0.250	Test IM2C	TL5001
4588.000	5237.000	657.000	313.500	139.000	0.000	0.000	1.652	0.115	0.077	0.777	1.180	Test IM2C	TL5001
5262.000	5853.000	600.000	472.000	123.000	0.000	0.000	1.652	0.078	0.030	0.722	0.208	Test IM2C	TL5001
5887.000	6528.000	649.000	288.750	109.500	0.000	0.000	1.652	0.114	0.064	1.138	0.652	Test IM2C	TL5001
6553.000	6944.000	399.000	109.000	-91.750	0.000	0.000	1.652	0.236	0.299	1.998	1.735	Test IM2C	TL5001
6977.000	7352.000	384.000	51.750	-126.000	0.000	0.000	1.652	0.068	0.026	0.278	0.444	Test IM2C	TL5001
7386.000	7652.000	274.000	65.500	-234.000	0.000	0.000	1.652	0.136	0.118	0.513	0.944	Test IM2C	TL5001
7685.000	8776.000	1100.000	148.500	-260.250	0.000	0.000	1.652	0.087	0.209	1.152	1.374	Test IM2C	TL5001
8809.000	9359.000	558.000	247.500	-244.500	0.000	0.000	1.652	0.091	0.213	0.999	0.735	Test IM2C	TL5001
9392.000	9692.000	308.000	147.500	-247.500	0.000	0.000	1.652	0.095	0.039	0.541	0.250	Test IM2C	TL5001
9725.000	9867.000	150.000	67.500	-248.250	1.000	0.000	1.652	1.148	0.934	1.957	2.373	Test IM2C	TL5001
9984.000	10200.000	224.000	18.500	-278.500	0.000	0.074	1.652	0.737	0.292	1.596	1.540	Test IM2C	TL5001
13098.000	13364.000	275.000	263.500	293.000	1.000	0.000	1.652	0.104	0.032	0.222	0.305	Test IM2C	TL5001
13398.000	13922.000	533.000	229.750	283.500	0.000	0.000	1.652	0.132	0.059	0.527	0.458	Test IM2C	TL5001
13956.000	14122.000	174.000	203.500	283.000	0.000	0.000	1.652	0.088	0.027	0.180	0.291	Test IM2C	TL5001
14155.000	14547.000	400.000	332.500	111.000	0.000	0.000	1.652	0.121	0.073	0.722	0.763	Test IM2C	TL5001
14572.000	14738.000	175.000	287.500	125.000	0.000	0.000	1.652	0.094	0.017	0.236	0.194	Test IM2C	TL5001
14772.000	15180.000	416.000	112.750	-62.750	0.000	0.000	1.652	0.207	0.164	2.151	1.013	Test IM2C	TL5001
15213.000	15454.000	250.000	148.000	-89.500	0.000	0.000	1.652	0.072	0.035	0.264	0.361	Test IM2C	TL5001
