FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
122709.000	123358.000	658.000	514.000	158.500	1.000	0.051	1.647	0.141	0.443	0.902	1.027	Test IM2C	TL5001
123383.000	123667.000	292.000	625.500	319.000	0.000	0.000	1.647	0.264	0.353	0.874	1.443	Test IM2C	TL5001
123691.000	124058.000	375.000	611.500	290.500	0.000	0.000	1.647	0.227	0.087	0.486	0.930	Test IM2C	TL5001
124091.000	124374.000	292.000	529.500	129.500	0.000	0.000	1.647	0.126	0.079	0.513	0.472	Test IM2C	TL5001
124408.000	125082.000	682.000	482.500	166.000	0.000	0.000	1.647	0.148	0.074	0.541	0.624	Test IM2C	TL5001
125115.000	125607.000	500.000	533.750	124.000	0.000	0.000	1.647	0.110	0.047	0.333	0.430	Test IM2C	TL5001
125640.000	125907.000	275.000	495.500	172.500	0.000	0.000	1.647	0.192	0.067	0.569	0.513	Test IM2C	TL5001
132677.000	132860.000	191.000	728.500	51.500	1.000	0.217	1.647	0.602	0.496	1.124	1.291	Test IM2C	TL5001
132902.000	133001.000	108.000	345.000	182.500	1.000	0.385	1.647	0.936	2.366	1.693	1.582	Test IM2C	TL5001
135328.000	135361.000	41.000	401.000	322.500	0.000	0.000	1.426	0.198	0.118	0.153	0.638	Test IM2C	TL5002
135386.000	135794.000	416.000	318.000	263.750	0.000	0.000	1.426	0.166	0.113	0.722	0.569	Test IM2C	TL5002
135827.000	136752.000	933.000	534.500	191.750	0.000	0.000	1.426	0.168	0.261	1.152	0.902	Test IM2C	TL5002
136793.000	137093.000	308.000	239.000	445.000	1.000	0.162	1.426	1.006	1.557	1.860	2.498	Test IM2C	TL5002
137126.000	137593.000	475.000	176.500	377.000	1.000	0.000	1.426	0.236	0.139	0.916	0.874	Test IM2C	TL5002
144496.000	144612.000	125.000	608.500	298.000	1.000	0.000	1.426	0.253	0.106	0.541	0.541	Test IM2C	TL5002
144637.000	145029.000	400.000	626.750	324.500	0.000	0.000	1.426	0.151	0.108	0.569	0.597	Test IM2C	TL5002
122877.000	123077.000	208.000	408.500	321.500	0.000	0.000	1.651	0.077	0.021	0.194	0.264	Test IM2C	TL5003
123110.000	123327.000	225.000	268.500	319.000	0.000	0.000	1.651	0.133	0.082	0.722	0.472	Test IM2C	TL5003
123360.000	123851.000	500.000	168.000	350.000	0.000	0.000	1.651	0.127	0.061	0.527	0.416	Test IM2C	TL5003
123885.000	124234.000	358.000	407.000	267.000	0.000	0.000	1.651	0.166	0.105	1.499	0.361	Test IM2C	TL5003
124268.000	124551.000	291.000	522.500	194.000	0.000	0.000	1.651	0.120	0.062	0.985	0.375	Test IM2C	TL5003
124584.000	124817.000	242.000	553.500	140.500	0.000	0.000	1.651	0.089	0.024	0.222	0.375	Test IM2C	TL5003
124842.000	125683.000	850.000	574.500	111.000	0.000	0.000	1.651	0.070	0.048	0.194	0.513	Test IM2C	TL5003
125717.000	127074.000	1365.000	471.500	198.500	0.000	0.000	1.651	0.081	0.230	1.207	1.457	Test IM2C	TL5003
127107.000	127507.000	408.000	471.000	201.000	0.000	0.000	1.651	0.070	0.023	0.180	0.389	Test IM2C	TL5003
127532.000	127832.000	308.000	536.500	155.000	0.000	0.000	1.651	0.070	0.028	0.430	0.291	Test IM2C	TL5003
127865.000	128523.000	666.000	572.500	110.500	0.000	0.000	1.651	0.088	0.136	0.583	0.860	Test IM2C	TL5003
128556.000	128864.000	317.000	474.000	214.250	0.000	0.000	1.651	0.101	0.043	0.541	0.763	Test IM2C	TL5003
128889.000	129114.000	233.000	426.500	205.750	0.000	0.000	1.651	0.084	0.029	0.208	0.361	Test IM2C	TL5003
129147.000	129505.000	367.000	486.000	202.250	0.000	0.000	1.651	0.068	0.022	0.250	0.278	Test IM2C	TL5003
129539.000	129805.000	275.000	568.500	142.000	0.000	0.000	1.651	0.086	0.020	0.472	0.139	Test IM2C	TL5003
129839.000	130097.000	266.000	347.500	176.500	0.000	0.000	1.651	0.233	0.162	1.651	0.860	Test IM2C	TL5003
130122.000	130346.000	233.000	309.250	149.500	0.000	0.000	1.651	0.116	0.039	0.278	0.527	Test IM2C	TL5003
130372.000	130688.000	324.000	534.000	139.000	0.000	0.000	1.651	0.197	0.115	1.776	0.208	Test IM2C	TL5003
130721.000	131146.000	433.000	577.500	118.000	0.000	0.000	1.651	0.083	0.031	0.319	0.319	Test IM2C	TL5003
131246.000	131529.000	291.000	221.000	40.500	1.000	0.000	1.651	0.166	0.148	0.694	0.944	Test IM2C	TL5003
131562.000	131870.000	317.000	310.500	163.500	0.000	0.000	1.651	0.095	0.050	0.305	0.583	Test IM2C	TL5003
131904.000	132203.000	308.000	569.000	156.500	0.000	0.000	1.651	0.183	0.077	1.415	0.208	Test IM2C	TL5003
132237.000	132545.000	316.000	394.750	152.500	0.000	0.000	1.651	0.117	0.053	0.680	0.347	Test IM2C	TL5003
132578.000	132961.000	392.000	341.000	140.500	0.000	0.000	1.651	0.068	0.028	0.333	0.264	Test IM2C	TL5003
132995.000	133253.000	266.000	556.250	139.500	0.000	0.000	1.651	0.129	0.062	0.971	0.264	Test IM2C	TL5003
133286.000	133777.000	500.000	582.000	106.500	0.000	0.000	1.651	0.069	0.031	0.305	0.319	Test IM2C	TL5003
133811.000	134102.000	299.000	482.500	207.500	0.000	0.000	1.651	0.112	0.036	0.402	0.888	Test IM2C	TL5003
134135.000	134560.000	433.000	358.500	159.500	0.000	0.000	1.651	0.068	0.026	0.416	0.250	Test IM2C	TL5003
134593.000	134952.000	368.000	318.500	145.000	0.000	0.000	1.651	0.066	0.013	0.167	0.278	Test IM2C	TL5003
127381.000	127731.000	358.000	404.500	311.000	0.000	0.000	1.540	0.128	0.041	0.291	0.416	Test IM2C	TL5004
127764.000	128222.000	467.000	177.500	314.000	0.000	0.054	1.540	0.228	0.334	1.679	0.860	Test IM2C	TL5004
128255.000	128480.000	234.000	460.000	432.000	0.000	0.000	1.540	0.372	0.412	1.304	1.624	Test IM2C	TL5004
128505.000	128847.000	350.000	537.750	474.500	0.000	0.000	1.540	0.198	0.114	0.652	0.541	Test IM2C	TL5004
128880.000	129222.000	350.000	506.750	432.500	0.000	0.000	1.540	0.168	0.093	0.611	0.472	Test IM2C	TL5004
129255.000	129663.000	416.000	206.500	349.000	0.000	0.060	1.540	0.307	0.377	1.984	0.902	Test IM2C	TL5004
129704.000	129879.000	184.000	373.500	477.750	0.000	0.000	1.540	0.231	0.195	1.013	0.458	Test IM2C	TL5004
