FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
117016.000	117232.000	225.000	394.500	178.000	0.000	0.000	1.612	0.178	0.154	0.250	1.582	Test IM2C	TL3034
117266.000	117490.000	233.000	390.750	140.750	0.000	0.000	1.612	0.125	0.040	0.153	0.722	Test IM2C	TL3034
117524.000	117849.000	333.000	454.500	138.000	0.000	0.000	1.612	0.092	0.043	0.291	0.416	Test IM2C	TL3034
117874.000	118140.000	274.000	571.000	245.000	0.000	0.000	1.612	0.163	0.071	0.541	0.513	Test IM2C	TL3034
118165.000	118856.000	699.000	599.500	315.000	0.000	0.024	1.612	0.265	0.163	0.597	1.540	Test IM2C	TL3034
118881.000	119323.000	450.000	537.500	122.750	0.000	0.000	1.612	0.199	0.273	1.402	2.248	Test IM2C	TL3034
119356.000	119639.000	291.000	604.500	270.000	0.000	0.000	1.612	0.147	0.056	0.305	0.500	Test IM2C	TL3034
119672.000	119922.000	258.000	614.000	349.500	0.000	0.000	1.612	0.203	0.113	0.500	0.735	Test IM2C	TL3034
119947.000	120280.000	341.000	518.000	408.000	0.000	0.000	1.612	0.425	0.609	0.777	2.456	Test IM2C	TL3034
128423.000	128473.000	59.000	373.000	322.500	0.000	0.000	1.437	0.363	0.290	0.555	0.777	Test IM2C	TL6015
128498.000	128765.000	275.000	386.000	466.500	0.000	0.000	1.437	0.241	0.158	0.555	0.985	Test IM2C	TL6015
128798.000	129248.000	458.000	468.500	468.000	0.000	0.000	1.437	0.255	0.400	1.374	0.819	Test IM2C	TL6015
129281.000	130355.000	1083.000	589.000	348.000	0.000	0.008	1.437	0.230	0.391	1.471	1.110	Test IM2C	TL6015
130389.000	131230.000	849.000	467.000	491.250	0.000	0.000	1.437	0.295	0.309	1.193	1.304	Test IM2C	TL6015
131263.000	131796.000	541.000	325.000	459.000	0.000	0.000	1.437	0.340	0.755	1.637	1.166	Test IM2C	TL6015
131829.000	132037.000	217.000	192.000	322.500	0.000	0.115	1.437	0.294	0.509	0.735	1.721	Test IM2C	TL6015
132062.000	132387.000	333.000	264.750	222.750	0.000	0.000	1.437	0.272	0.433	1.388	1.415	Test IM2C	TL6015
132420.000	132678.000	267.000	467.500	155.750	0.000	0.000	1.437	0.314	0.616	1.485	1.637	Test IM2C	TL6015
132720.000	132887.000	175.000	561.000	349.500	1.000	0.000	1.437	0.168	0.092	0.430	0.430	Test IM2C	TL6015
132903.000	132945.000	50.000	586.000	317.500	0.000	0.333	1.437	1.054	0.669	0.722	1.166	Test IM2C	TL6015
132962.000	133478.000	524.000	564.500	350.500	0.000	0.000	1.437	0.232	0.157	0.985	0.722	Test IM2C	TL6015
133511.000	135019.000	1516.000	467.500	505.000	1.000	0.000	1.437	0.351	1.098	1.707	2.276	Test IM2C	TL6015
135201.000	135385.000	192.000	579.750	366.250	1.000	0.043	1.437	0.438	0.603	1.207	1.707	Test IM2C	TL6015
135418.000	135676.000	267.000	442.250	474.000	0.000	0.000	1.437	0.427	0.397	1.540	1.429	Test IM2C	TL6015
135701.000	136126.000	433.000	483.500	480.500	0.000	0.000	1.437	0.257	0.120	0.583	0.652	Test IM2C	TL6015
136159.000	136476.000	325.000	264.250	361.000	0.000	0.077	1.437	0.264	0.399	1.221	1.180	Test IM2C	TL6015
136509.000	137275.000	775.000	326.000	460.500	0.000	0.000	1.437	0.286	0.281	0.847	1.499	Test IM2C	TL6015
137317.000	137575.000	266.000	595.000	376.000	0.000	0.031	1.437	0.313	0.447	1.749	0.999	Test IM2C	TL6015
137600.000	139107.000	1516.000	577.000	344.500	0.000	0.000	1.437	0.202	0.127	0.916	0.860	Test IM2C	TL6015
